"","URN","not_sustained_rate","urban_rural","denomination","FSM","White_British","region_name","school_name","headcount","susp_rate","KS2_history","Attainment_8","Progress_8","selective","POSTCODE","post16","school_sex","type","Ofsted_rating","sen_support","LSOA11","IMD"
"1847",136271,2.64900662251656,"(England/Wales) Rural town and fringe","No religious character","12","89","East of England","Hartismere School",1066,5.81614,106,"51.5",0.19,0,"IP23 7BL",1,"Mixed","Academy converter","Outstanding",13.4524929444967,"E01030052",6
"1848",137674,9.75609756097561,"(England/Wales) Urban city and town","No religious character","30.2","62.7","East of England","Ormiston Endeavour Academy",691,13.60347,101.7,"38.8",-0.14,0,"IP1 6SG",0,"Mixed","Academy sponsor led","Good",15.1693667157585,"E01030034",8
"1849",138373,10.5590062111801,"(England/Wales) Urban city and town","No religious character","35.4","75.4","East of England","Chantry Academy",951,1.57729,101.3,"35.5",-0.51,0,"IP2 9LR",0,"Mixed","Academy sponsor led","Good",13.4736842105263,"E01029986",1
"1850",138162,4.13223140495868,"(England/Wales) Urban city and town","No religious character","26.2","75.9","East of England","Castle Manor Academy",756,5.02646,102.2,"41.1",-0.12,0,"CB9 9JE",0,"Mixed","Academy converter","Good",11.5845539280959,"E01030110",4
"1851",144214,3.97350993377483,"(England/Wales) Rural town and fringe","No religious character","17.4","88.3","East of England","Claydon High School",773,6.33894,104.2,"44.1",-0.18,0,"IP6 0EG",0,"Mixed","Academy converter","Good",11.4583333333333,"E01030045",9
"1852",138273,10.9375,"(England/Wales) Rural town and fringe","No religious character","41.7","85.3","East of England","Set Saxmundham School",120,41.66667,102.8,"32",-1.19,0,"IP17 1DZ",0,"Mixed","Free schools","Serious Weaknesses",15.5963302752294,"E01030210",5
"1853",136969,1.64473684210526,"(England/Wales) Urban city and town","No religious character","12.9","81.9","East of England","Kesgrave High School",1841,2.17273,105.7,"50.6",0.17,0,"IP5 2PB",1,"Mixed","Academy converter","Good",17.3275393807713,"E01030180",10
"1854",137218,6.14525139664804,"(England/Wales) Rural village","No religious character","15.6","85","East of England","East Bergholt High School",887,3.38219,104.6,"47.4",0.09,0,"CO7 6RJ",0,"Mixed","Academy converter","Good",16.1254199328108,"E01029883",9
"1855",136990,3.39805825242718,"(England/Wales) Urban city and town","No religious character","22.3","79.2","East of England","Bury St Edmunds County High School",856,5.14019,104.4,"46.2",-0.09,0,"IP32 6RF",1,"Mixed","Academy converter","Good",7.25146198830409,"E01030137",7
"1856",136918,5.10948905109489,"(England/Wales) Rural town and fringe","No religious character","19.9","84.4","East of England","Hadleigh High School",779,6.41849,104.4,"44.6",-0.16,0,"IP7 5HU",0,"Mixed","Academy converter","Good",15.4746423927178,"E01029895",10
"1857",139867,5.0761421319797,"(England/Wales) Urban city and town","No religious character","23.3","75.7","East of England","Mildenhall College Academy",1327,22.53203,102.6,"39.8",-0.29,0,"IP28 7JX",1,"Mixed","Academy converter","Good",13.609022556391,"E01029947",7
"1858",137321,6.37254901960784,"(England/Wales) Urban city and town","No religious character","24.5","83.6","East of England","Felixstowe School",1251,17.58593,101.4,"35.8",-0.48,0,"IP11 9QR",1,"Mixed","Academy sponsor led","Good",12.6907630522088,"E01030160",3
"1859",149285,3.68098159509202,"(England/Wales) Urban city and town","Roman Catholic","11.5","55.6","East of England","St Benedict's Catholic School",978,4.70348,105.9,"51.1",0.17,0,"IP32 6RH",1,"Mixed","Academy converter","",12.5,"E01030130",5
"1860",142759,5.09259259259259,"(England/Wales) Urban city and town","No religious character","31.2","91","East of England","Benjamin Britten Academy of Music and Mathematics",1264,14.95253,104.6,"46.4",-0.12,0,"NR32 4PZ",0,"Mixed","Academy sponsor led","Good",22.63701350278,"E01030281",5
"1861",140669,8.2089552238806,"(England/Wales) Urban city and town","No religious character","21.5","68.7","East of England","Newmarket Academy",845,9.5858,104.8,"42.5",-0.51,0,"CB8 0EB",0,"Mixed","Academy sponsor led","Good",10.8303249097473,"E01029952",8
"1862",137134,13.5338345864662,"(England/Wales) Urban city and town","No religious character","40.6","87.9","East of England","East Point Academy",871,21.6992,103.9,"41.5",-0.41,0,"NR33 0UQ",0,"Mixed","Academy sponsor led","Good",13.757225433526,"E01030255",3
"1863",141639,7.57575757575758,"(England/Wales) Urban city and town","No religious character","19.4","82.4","East of England","Thomas Gainsborough School",1587,4.09578,104.3,"48.4",0.2,0,"CO10 0NH",1,"Mixed","Academy converter","Good",15.9090909090909,"E01029891",7
"1864",139288,7.14285714285714,"(England/Wales) Urban city and town","No religious character","33.5","52.3","East of England","Westbourne Academy",1060,30.4717,104,"41.6",-0.42,0,"IP1 5JN",0,"Mixed","Academy converter","Good",14.2322097378277,"E01030029",2
"1865",140969,1.6260162601626,"(England/Wales) Rural hamlet and isolated dwellings","No religious character","13","82.8","East of England","Sybil Andrews Academy",639,6.72926,104.4,"47.5",0.15,0,"IP32 7QB",0,"Mixed","Academy sponsor led","Good",13.4585289514867,"E01030138",5
"1866",136834,3.37837837837838,"(England/Wales) Urban city and town","No religious character","16.7","84.4","East of England","Farlingaye High School",1908,2.56813,104.8,"45.5",-0.15,0,"IP12 4JX",1,"Mixed","Academy converter","Good",9.8326359832636,"E01030155",8
"1867",137055,2.9045643153527,"(England/Wales) Urban city and town","No religious character","21.4","90.9","East of England","Sir John Leman High School",1439,2.50174,105.2,"46.1",-0.23,0,"NR34 9PG",1,"Mixed","Academy converter","Good",8.31600831600832,"E01030224",6
"1868",138274,6.52173913043478,"(England/Wales) Urban city and town","No religious character","46.7","93.8","East of England","Beccles High School",294,24.4898,102.8,"30.9",-1.17,0,"NR34 7BQ",0,"Mixed","Free schools","Requires improvement",10.4166666666667,"E01030227",1
"1869",140047,9.09090909090909,"(England/Wales) Rural town and fringe","No religious character","19.5","85.4","East of England","Ixworth High School",536,8.02239,103.3,"36.4",-0.87,0,"IP31 2HS",0,"Mixed","Free schools","Good",19.6969696969697,"E01030121",8
"1870",141236,6.12244897959184,"(England/Wales) Rural town and fringe in a sparse setting","No religious character","26.7","90","East of England","Alde Valley Academy",641,11.54446,103.4,"40.6",-0.33,0,"IP16 4BG",0,"Mixed","Academy sponsor led","Requires improvement",14.1524105754277,"E01030187",4
"1871",136416,6.76691729323308,"(England/Wales) Rural town and fringe","Church of England","11.1","91.1","East of England","Debenham High School",683,3.3675,104.7,"55.4",0.77,0,"IP14 6BL",0,"Mixed","Academy converter","Good",7.56914119359534,"E01030048",8
"1872",136827,4.77815699658703,"(England/Wales) Urban city and town","No religious character","16.1","70.4","East of England","Copleston High School",1942,6.59114,104,"49.2",0.34,0,"IP4 5HD",1,"Mixed","Academy converter","Good",8.93595041322314,"E01030004",9
"1873",138506,14,"(England/Wales) Urban city and town","No religious character","30.9","85","East of England","Ormiston Sudbury Academy",691,8.53835,103.4,"41.3",-0.3,0,"CO10 1NW",1,"Mixed","Academy sponsor led","Requires improvement",15.3179190751445,"E01029916",3
"1874",143362,5.44554455445545,"(England/Wales) Urban city and town","No religious character","23.7","88.5","East of England","Stowupland High School",1011,9.29773,104,"43.4",-0.14,0,"IP14 4BQ",1,"Mixed","Academy converter","Requires improvement",10.1190476190476,"E01030081",6
